title,authors,description,categories,average_rating,ratings_count,published_year
淡江評論,,A quarterly of comparative studies of Chinese and foreign literatures.,Chinese literature,,,2000
Collected Short Fiction,Roger F. Kennedy,The Collected Short Fiction of Roger F. Kennedy now appears in a two book set Volumes 1 and 2 Volume 1 comprises 27 newly edited stories from The Windup Man and Lauri with an i. Volume 2 includes 24 newly edited stories from The Three of us and Mirror Image. Kennedys ironic imagination and wit shine through with fast-moving plot lines and dead-on dialogue in the time-honored tradition of pulp fiction.,Fiction,,,2011
Italian Science Fiction,"Simone Brioni, Daniele Comberiati","This book explores Italian science fiction from 1861, the year of Italy’s unification, to the present day, focusing on how this genre helped shape notions of Otherness and Normalness. In particular, Italian Science Fiction draws upon critical race studies, postcolonial theory, and feminist studies to explore how migration, colonialism, multiculturalism, and racism have been represented in genre film and literature. Topics include the role of science fiction in constructing a national identity; the representation and self-representation of “alien” immigrants in Italy; the creation of internal “Others,” such as southerners and Roma; the intersections of gender and race discrimination; and Italian science fiction’s transnational dialogue with foreign science fiction. This book reveals that though it is arguably a minor genre in Italy, science fiction offers an innovative interpretive angle for rethinking Italian history and imagining future change in Italian society.",Literary Criticism,,,2019
The Year's Best Science Fiction: Thirty-Second Annual Collection,Gardner Dozois,"""The thirty-six stories in this collection imaginatively take us far across the universe, into the very core of our beings, to the realm of the gods, and the moment just after now""--Page 4 of cover.",Fiction,,,2015
The Invisible Man,Herbert George Wells,"The Invisible Man is an 1897 science fiction novella by H.G. Wells. Wells' novel was originally serialised in Pearson's Magazine in 1897, and published as a novel the same year. The Invisible Man of the title is Griffin, a scientist who theorises that if a person's refractive index is changed to exactly that of air and his body does not absorb or reflect light, then he will be invisible. He successfully carries out this procedure on himself, but cannot become visible again, becoming mentally unstable as a result.Herbert George Wells, better known as H. G. Wells, was an English writer best known for such science fiction novels as The Time Machine, The War of the Worlds, The Invisible Man and The Island of Doctor Moreau. He was a prolific writer of both fiction and non-fiction, and produced works in many different genres, including contemporary novels, history, and social commentary. He was also an outspoken socialist. His later works become increasingly political and didactic, and only his early science fiction novels are widely read today. Wells, along with Hugo Gernsback and Jules Verne, is sometimes referred to as ""The Father of Science Fiction"".",,,,2020
Summertime,J. M. Coetzee,"""Not since Disgrace, has he written with such urgency and feeling."" -The New Yorker J.M. Coetzee's latest novel, The Schooldays of Jesus, is now available from Viking. Late Essays: 2006-2016 will be available January 2018. Nobel Prize-winning author J. M. Coetzee's new book follows a young biographer as he works on a book about the late writer, John Coetzee. The biographer embarks on a series of interviews with people who were important to Coetzee during the period when he was ""finding his feet as a writer""-in his thirties and sharing a run-down cottage in the suburbs of Cape Town with his widowed father. Their testimonies create an image of an awkward, reserved, and bookish young man who finds it difficult to connect with the people around him. An innovative and inspired work of fiction-incisive, elegant, and often surprisingly funny- Summertime allows one of the most revered writers of our time to imagine his own life with a critical and unsparing eye.",Fiction,,,2010
To the Lighthouse,Virginia Woolf,"To the Lighthouse (5 May 1927) is a novel by Virginia Woolf. A landmark novel of high modernism, the text, centering on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920, skillfully manipulates temporality and psychological exploration.To the Lighthouse follows and extends the tradition of modernist novelists like Marcel Proust and James Joyce, where the plot is secondary to philosophical introspection, and the prose can be...",,,,2019
Explorations,Poul Anderson,"An outstanding collection of science fiction stories by one of the most respected names in the field. These six classic Anderson stories involve interplanetary or interstellar voyages of discovery. ""The real strength of the book is . . . Anderson's genius for the novella and novelette forms. . . "".--Booklist.",Fiction,,,1991
Speak No Evil,Mignon G. Eberhart,"“A well told and interesting mystery . . . excellent intricacy and with real subtlety of character drawing. . . . One of the best of [Eberhart’s] tales.” —The New York Times Elizabeth Dakin has reason to fear her older, wealthy husband. Throughout their two-year marriage—a union made in haste after the death of her father—she has been the victim of his alcoholic bouts of rage. She never imagined she had to be afraid for him. But when she stumbles upon his dead body, suddenly the life they lived in a Jamaican paradise is revealed for the sham that it is. Or so she thinks. For suddenly Elizabeth finds herself the lead suspect in his murder . . .",Fiction,,,2024
Swept Aside,Sharon Sala,"From a New York Times–bestselling author, a hostage situation leads to love for an undercover cop in book three of this romantic suspense series. Shell-shocked after a nightmarish school shooting, Amalie Pope retreats to an aging plantation house near Bordelaise, Louisiana, to heal, physically and emotionally. She's there barely an hour when a tornado rips through bayou country, mercifully leaving the house intact. She's stranded, but unafraid—until a knock on the door. Four escaped prisoners barge inside, and in an instant Amalie is a hostage again. These men are wounded, desperate and dangerous—with one exception. Undercover DEA operative Nick Aroyo is on the run with the gang he's infiltrated. The only thing he wants more than this collar is to protect fragile, frightened Amalie, who has surrendered herself to his care, body, soul . . . and heart. But he'll have to play the thug in order to keep her—and his secret—safe, because even though the storm has passed, the danger remains. . . .",Fiction,,,2018
Journey to the Center of the Earth,Jules Verne,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",Fiction,3.5,3.0,2006
Black and Blue,Anna Quindlen,"An ultimately uplifting tale, full of drama and the details of a personal crisis. Oprah Book Club Choice and international bestseller. ‘The first time my husband hit me, I was nineteen years old’ For eighteen years, Fran Benedetto kept her secret. And hit her bruises. And stayed with Bobby because she wanted her son to have a father. And because, in spite of everything, she loved him. Then one night, when she sae the look on her ten-year-old son’s face, Fran finally made a choice – and ran for both their lives. Now she is starting over in a city far from home, far from Bobby. But every day she waits fro him to catch up with her. Because Bobby always said he would never let her go. And despite the flawlessness of her escape, Fran Benedetto is certain of one thing – it’s only a matter of time. ‘The honesty of her storytelling is exemplary’ - Sunday Times ‘Relationships and family life are captured in a beautiful, intelligent way’ - Good Housekeeping",Fiction,,,1998
The Edge of the Fall,Kate Williams,"An utterly spellbinding novel of the 1920s in London and Paris, The Edge of the Fall is bestselling author Kate Williams’s follow-up to her beloved and universally praised novel The Storms of War. In the aftermath of the Great War, the de Witt family is struggling to piece together the shattered fragments of their lives. Stoneythorpe Hall has become an empty shell with no servants to ensure its upkeep. Rudolf and his wife, Verena, still reeling from the loss of their second son, don’t know how to function in the post-war world. Eldest son Arthur has returned, but a shroud of mystery surrounds his wartime business dealings in Europe. Socialite-turned-socialist Emmeline is passionate about carving out a new niche for herself in life, one that comes with its own dangers. And idealistic, adventurous Celia, the heart of the family and the de Witt’s youngest daughter, is still desperate to spread her wings and see more of the world. To escape Stoneythorpe and the painful secrets that lie there, she moves to London and embraces life and love in the Roaring Twenties. From the brilliant young author known as one of the “queens of contemporary fiction,” The Edge of the Fall is brimming with intrigue and emotion, balancing the glamour of the era with the gritty reality of life in a world changed forever by war. It is a glorious feat of storytelling and a must-read for those who loved The Storms of War and fans of historical fiction everywhere.",Fiction,,,2016
Innocents Aboard,Gene Wolfe,"Gene Wolfe may be the single best writer in fantasy and SF of his generation. From The Book of the Long Sun to The Book of the New Sun series, to his impressive short fiction oeuvre. Innocents Aboard gathers fantasy and horror stories from the last decade that have never before been in a Wolfe collection. Highlights from the twenty-two stories include ""The Tree is my Hat,"" adventure and horror in the South Seas, ""The Night Chough,"" a Long Sun story, ""The Walking Sticks,"" a darkly humorous tale of a supernatural inheritance, and ""Houston, 1943,"" lurid adventures in a dream that has no end. This is fantastic fiction at its best.",Fiction,,,2005
Not Without Laughter,Langston Hughes,"A landmark of Harlem Renaissance fiction, Not Without Laughter by Langston Hughes is a moving and beautifully observed portrait of African American life in early twentieth-century America. Blending the clarity of realism with the emotional music of blues and spirituals, this powerful African American coming-of-age novel follows young Sandy Rogers as he navigates family, identity, race, and the search for belonging in a world marked by both hardship and hope. Set against the backdrop of African American cultural history, the novel explores generational conflict, community bonds, and the tension between tradition and ambition. Through vibrant characters and lyrical storytelling, Hughes captures the rhythms of everyday life-church gatherings, kitchen conversations, neighborhood gossip, and quiet acts of resilience that define a family's strength. The result is a timeless narrative that resonates with readers drawn to historical literary fiction, Black family stories, and classic coming-of-age narratives grounded in cultural truth. Celebrated as an African American literary classic, Not Without Laughter is essential reading for anyone interested in the Harlem Renaissance, early twentieth-century African American fiction, and the development of modern American literature. Its themes of dignity, self-discovery, and perseverance make it a natural fit for libraries, classrooms, book clubs, and readers seeking stories that illuminate history through personal experience. Rich, compassionate, and deeply human, Not Without Laughter endures as one of the most important works of Black literature, offering a compelling portrait of growth and identity that continues to inspire new generations of readers.",Fiction,,,2026
Steel for Hire,Richard Fierce,"Some jobs turn you into a zombie. Literally. Captain Jayde Thrin of the cargo ship Determination has one goal: make enough money to retire in style. Her small mercenary crew travels the universe taking on odd jobs, but when a botched gig lands them in hot water, it’s up to Jayde to figure out their escape – and their survival. The nearby mining planet M44 provides an opportunity to refuel and make a quick buck, but there’s more going on in the mines than anyone realizes. What Jayde expects to be an easy job turns out to be one of the hardest yet, especially with the outpost overrun with the undead. Steel for Hire is the first episode of Galactic Mercenaries, a space opera series about zombies, space battles, alien invasion, and a misfit crew trying to survive in a dangerous universe. (space opera zombie mercenaries alien invasion fiction science fiction gang force space combat space battle sci fi space adventure sci fi)",Fiction,,,2019
The Shadow Girl,"Ray Cummings, Smolenski","Venture into the realm of time travel with Ray Cummings' ""The shadow girl,"" a classic of science fiction and fantasy adventure. Explore a world where the boundaries of time blur, and the future unfolds in unexpected ways. This gripping tale, categorized under time travel fiction, is a testament to the enduring power of imaginative storytelling. ""The shadow girl"" invites readers on a journey beyond the present, delving into the possibilities and perils of manipulating time itself. A cornerstone of science fiction and fantasy, this book promises a thrilling escape for anyone captivated by the concept of altering the course of history. Experience a timeless adventure, meticulously prepared for print republication, that continues to resonate with its blend of scientific speculation and fantastical elements. Prepare to be transported to a world where the past, present, and future collide in a whirlwind of action and intrigue. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Fiction,,,2025
The Diamond Lens,Fitz-James O'Brien,"This book has been considered important throughout the human history, and so that this work is never forgotten we have made efforts in its preservation by republishing this book in a modern format for present and future generations. This whole book has been reformatted, retyped and designed. These books are not made of scanned copies of their original work and hence the text is clear and readable.",Fiction,,,2021
Coastal Empires,Tyrel Kane,"In 2014, the policy of marijuana prohibition in the United States is changing. For one industrious young man in Savannah, though, it's not changing fast enough. Oliver Court has an idea that just might expedite the process, but can he put that idea into practice before someone catches up to him? Oliver won't be alone in his quest, as long as he can convince his friends to help him. The closest of those friends, however, is not exactly thrilled by Ollie's recent decision to offer himself up as a disobedient sacrifice. Meanwhile, Trigg Johnson and Jarvis Allen have a conundrum of their own to ponder. They've recently become Savannah's most infamous thieves, and the police are not the only ones searching for them. Some of the most vicious criminals in the Coastal Empire want to find them first. Is there a crossroads for these factions? Can any of them find freedom? Tyrel Kane is a self-described American gypsy, a six-year Sailor who was born into a military family with roots spread across the Nation and the World. Formally trained as a chef, a golf professional, a writer, and an imbiber of fine alcohols, Tyrel's studies and adventures have taken him to sixteen countries on three continents. While in the process of writing Coastal Empires, he kayaked the length of the Suwannee River from the Okefenokee Swamp in Georgia to the Gulf of Mexico over twelve days, though the majority of the novel was written at a small window overlooking his own version of Walden Pond near Savannah. He lives with his charming wife and their two miniature dogs in the Southeastern United States. His website, www.tyrelkane.com, contains a growing cache of stories from his life and excerpts of his work.",Fiction,,,2014
Dago Red,Bill Pronzini,"Bill Pronzini invades the Ramble House Sanctuary of Loons with a collection of 22 excursions into the darkest heart of noir. From the perils of familial love in ""Dago Red"" to the deadly TV sports of ""Olaf and the Merchandisers"" Pronzini runs you through a wringer of chills and thrills, with a couple of Nameless Detective stories to keep you grounded. But don't expect the suspense to let up, because there are dangers lurking in the twenty stories that lie in between, each more menacing than the last. A Ramble House book",Fiction,,,2008
A Journey to the Center of the Earth (Annotated),Jules Verne,A Journey to the Center of the Earth is a classic 1864 science fiction novel Jules Verne (published in the original French as Voyage au centre de la Terre). The story involves a professor who leads his nephew...,,,,2020
The Amazon and the Warrior,Judith Hand,"The Legend of Penthesilea, Queen of the Amazons For eight years, the besieged city of Troy has withstood the relentless might of the Greek invaders. Now the dread Achilles, mightiest of the Greek warriors, seeks to conquer the fabled realm of the Amazons as well. But one woman stands between him and his ruthless ambition to conquer her homeland. Penthesilea, Warrior Queen of the Amazons, watched her mother die upon Achilles' sword. A fiery, red-haired tigress of tremendous passion and courage, Pentha vows to take revenge on the legendary Greek champion, even if it means leading an army in defense of imperiled Troy. Her lover, Damonides, does not share her eagerness for battle. Once a formidable warrior in his own right, he long ago put away the sword. Now he yearns only to live in peace with the beautiful and ardent Amazon Queen. But can he stand idly by while the woman he loves risks everything for the sake of her people?",Fiction,,,2024
Homebody,Orson Scott Card,"From a New York Times–bestseller, ""a powerful tale of healing and redemption that skillfully balances supernatural horrors with spiritual uplift"" ( Publishers Weekly). Don Lark's cheery name belies his tragic past. When his alcoholic ex-wife killed their daughter in a car wreck, he retreated from the world. Only the prospect of putting a roof over other people's heads seems to comfort Lark, and he goes from town to town, looking for dilapidated houses he can buy, restore and resell at a profit. In Greensboro, North Carolina, Lark finds his biggest challenge yet—a huge, sturdy, gorgeous shell that's suffered almost a century of abuse at the hands of greedy landlords and transient tenants. As he sinks his teeth into this new project, Lark's new neighborhood starts to work its charms on him. He strikes up a romance with the wry real estate agent who sold him the house. His neighbors, two charming, chatty old ladies, ply him endlessly with delicious Southern cooking. Even Sylvie, the squatter Lark was once desperate to evict from the old house, is now growing on him. But when Lark unearths an old tunnel in the cellar, the house's enchantments start to turn ominous. Sylvie turns cantankerous, even dangerous. Lark embarks on a struggle for his life — and his friends'— against a house with a past even more tragic than his own. If Lark wins, he gets the kind of home and community he's always dreamed of. If he loses, all is lost. . . . ""Fast-paced, magical, and full of unusual characters."" — School Library Journal",Fiction,,,2013
Of Modern Dragons; and other essays on Genre Fiction:,John Lennard,A volume of essays exploring some of the best genre fiction of the last 40 years.,Fiction,,,2016
Bestsellers: Popular Fiction since 1900,C. Bloom,"This guide and reference work of all of the bestselling books, authors and genres since the beginning of the 20th century, provides an insight into over 100 years of publishing and reading as well as taking us on a journey into the heart of the British imagination.",Literary Criticism,,,2002
Pirate Gold,F. J. Stimson,"Trieste Publishing has a massive catalogue of classic book titles. Our aim is to provide readers with the highest quality reproductions of fiction and non-fiction literature that has stood the test of time. The many thousands of books in our collection have been sourced from libraries and private collections around the world.The titles that Trieste Publishing has chosen to be part of the collection have been scanned to simulate the original. Our readers see the books the same way that their first readers did decades or a hundred or more years ago. Books from that period are often spoiled by imperfections that did not exist in the original. Imperfections could be in the form of blurred text, photographs, or missing pages. It is highly unlikely that this would occur with one of our books. Our extensive quality control ensures that the readers of Trieste Publishing's books will be delighted with their purchase. Our staff has thoroughly reviewed every page of all the books in the collection, repairing, or if necessary, rejecting titles that are not of the highest quality. This process ensures that the reader of one of Trieste Publishing's titles receives a volume that faithfully reproduces the original, and to the maximum degree possible, gives them the experience of owning the original work.We pride ourselves on not only creating a pathway to an extensive reservoir of books of the finest quality, but also providing value to every one of our readers. Generally, Trieste books are purchased singly - on demand, however they may also be purchased in bulk. Readers interested in bulk purchases are invited to contact us directly to enquire about our tailored bulk rates.",Fiction,,,2017
Newport!,Lenard Davis,"It got me thinking about the hundreds of years of Newport Beach history. It made me excited about from where they came. Hail Chinigchinich! --Tom Johnson, former publisher of the Daily Pilot and Newport Beach Independent Reading this epic is like riding in a time machine from the first Indians in the area through the Spanish, Mexican and American settlements in the 20th Century. Through a series of short stories, Davis weaves his opus with suspense, conflict, humor, romance, heroes, betrayal, murder and hope. It reads like a TV mini-series because of his vivid, descriptive, often conversational and colorful writing. --Chris MacDonald, seecalifornia.com Old-time fans of Dallas or Dynasty will appreciate how the stories of family betrayal, illegitimacy and murder are played out here in our own community. -Keith Curry, Former Mayor of Newport Beach, CA James Michener, move over! --John Tobin, Western Australia",Fiction,,,2013
Talking For Two,Wanda E. Brunstetter,"Her stuttering and lack of self-confidence have her locked in a trap she can't escape. She's faced these problems since childhood, when her pretty, outgoing sister was born. Wanting to serve the Lord--and show her family she can amount to something--Tabby enrolls in a class on ventriloquism. When she visits the shop of accomplished ventriquist Seth Byers to inquire about buying a dummy, he quickly notices her potential. With the help of Tabby's best friend, Seth begins a campaign to turn Tabby into what he thinks she should be--the perfect woman to be his wife. But Tabby knows she will never be perfect. Will she ever let go of her shyness and use her talent to serve God? Will Seth be able to love her just as she is? Or will Tabby spend the rest of her life letting her dummy talk for two?",Fiction,,,2013
Time Traders,Andre Norton,Time Traders,Fiction,,,2001
The Wheels of Chance,H. G. Wells,"The Wheels of Chanceby H. G. WellsAlthough H. G. Wells is best known for his science fiction stories he wrote in many genres including history, and social commentaries. The Wheels of Chance was written when the bicycle was beginning to become very popular (1890 -1905) and saw bicycles becoming a part of social changes in England. People could move quickly and rigid class structure was beginning to crumble. This is the story of a down-on-his-luck draper's assistant who takes a second-hand bicycle on a tour through the English countryside. He meets a young woman on the run from her seducer in addition to a string of other amusing characters..",,,,2018
The Hole,Brandon Q. Morris,"Un buco nero minaccia la Terra. Un oggetto misterioso minaccia di distruggere il nostro sistema solare. La sopravvivenza dell’umanità è a rischio, ma nessuno prende sul serio l’avvertimento della giovane astrofisica Maribel Pedreira. Nel mentre, un equipaggio di emarginati estrae minerali rari su un remoto e solitario asteroide. Quando gli altri scienziati finalmente danno credito all’allarmante scoperta di Maribel, si rendono conto che quegli emarginati sono gli unici che potrebbero salvare il nostro mondo, consci che IL BUCO sfreccia inesorabilmente verso il sole.",Fiction,,,2021
The House on the Borderland,William Hope Hodgson,"DONALD A. WOLLHEIM ONCE WROTE: THE HOUSE ON THE BORDERLAND is a classic of science fiction that no one who enjoys great imaginative writing should miss. It is a novel not quite like any other ever written—the story of an adventure in time and space that literally spans all of creation, proceeds to witness the end of the Earth and its sun, yet returns to the present to face more mysteries. William Hope Hodgson, who died in the trenches during the First World War, filled, during his brief and brilliant career, the gap between the period of H. G. Wells and the post-war period that introduced the full flowering of modern science fiction. To read this book, which H. P. Lovecraft praised as the greatest of Hodgson’s works, is a truly remarkable and breath-taking experience",,,,2013
"Julius Courtney, Or, Master of His Fate",James MacLaren Cobban,"â€œJulius Courtney, Or, Master of His Fateâ€ is a compelling historical novel by James Maclaren Cobban. Set against the backdrop of 19th-century Britain, the story explores the life of Julius Courtney, a man determined to control his destiny. The narrative delves into themes of ambition, social class, and the complex interplay between fate and free will. Cobban masterfully crafts a tale rich in period detail and engaging characters, making it a worthwhile read for enthusiasts of classic literature and historical fiction. Discover a story of ambition, love, and the relentless pursuit of one's aspirations. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Fiction,,,2025
The Prince and the Pauper Annotated,Mark Twain,"The Prince and the Pauper is a novel by American author Mark Twain. It was first published in 1881 in Canada, before its 1882 publication in the United States.The novel represents Twain's first attempt at historical fiction. Set in 1537 it tells the story of two young boys who were born on the same day and are identical in appearance. Tom Canty a pauper who lives with his abusive alcoholic father in Offal Court off Pudding Lane in London and Edward VI of England son of Henry VIII of England.",,,,2021
